id,title,venue,year,authors,doi,Label,resolved_doi,openalex_id,primary_topic,primary_topic_score,topic_1,topic_1_score,topic_2,topic_2_score,topic_3,topic_3_score,keyword_1,keyword_1_score,keyword_2,keyword_2_score,keyword_3,keyword_3_score,topics_json,keywords_json,fetch_source
42,Teaching Prolog and Logic Programming with Jupyter Notebooks.,iclp,2025,,https://www.semanticscholar.org/paper/99cb0723e6cf76da04973b888b0617e92607e546,5,,,,,,,,,,,,,,,,,,,
43,A Legal Logic Programming Framework for Autonomous Vehicles.,iclp,2025,"VINEEL TUMMALA, DANIELA INCLEZAN",https://www.semanticscholar.org/paper/89283796e7011f1e43d87fcf9868c7392c36a79f,5,,,,,,,,,,,,,,,,,,,
44,UserArmor: An extension for AppArmor.,iclp,2025,"Mario Alviano, Pierpaolo Sestito",https://www.semanticscholar.org/paper/c8df4fe2a371aa84e9e52097094a5a22dc97b023,1,10.3390/a18040185,https://openalex.org/W4408778072,Access Control and Trust,0.996999979019165,Access Control and Trust,0.996999979019165,Security and Verification in Computing,0.9930999875068665,Service-Oriented Architecture and Web Services,0.9779000282287598,Computer science,0.8416236042976379,Inheritance (genetic algorithm),0.7626155614852905,Extension (predicate logic),0.6665061116218567,"[{""id"": ""https://openalex.org/T10927"", ""display_name"": ""Access Control and Trust"", ""score"": 0.996999979019165}, {""id"": ""https://openalex.org/T11424"", ""display_name"": ""Security and Verification in Computing"", ""score"": 0.9930999875068665}, {""id"": ""https://openalex.org/T10679"", ""display_name"": ""Service-Oriented Architecture and Web Services"", ""score"": 0.9779000282287598}]","[{""id"": ""https://openalex.org/keywords/computer-science"", ""display_name"": ""Computer science"", ""score"": 0.8416236042976379}, {""id"": ""https://openalex.org/keywords/inheritance"", ""display_name"": ""Inheritance (genetic algorithm)"", ""score"": 0.7626155614852905}, {""id"": ""https://openalex.org/keywords/extension"", ""display_name"": ""Extension (predicate logic)"", ""score"": 0.6665061116218567}]",openalex_title_search
45,Global Type Inference for Java using Answer Set Programming.,iclp,2025,Fabrizio Riguzzi,https://www.semanticscholar.org/paper/a8d0072174a860973275797417309962b721c861,4,,,,,,,,,,,,,,,,,,,
46,Platform for Introducing Logic Programming in Bulgarian Secondary Schools - IDEAS (Intelligent Data Educational Analysis System).,iclp,2025,"Veneta Tabakova-Komsalova, Ivan Stoyanov, George Cholakov, Magdalena Maglizhanova",https://www.semanticscholar.org/paper/030cfc31a6318aaa66e597aadada030285aaeb0f,1,,,,,,,,,,,,,,,,,,,
47,Research Summary: Explainable Artificial Intelligence in Answer Set Programming and Machine Learning.,iclp,2025,Vladimir Lifschitz,https://www.semanticscholar.org/paper/7ebdfcb9f0a43a41a96d6d7954f1046e5aaee1fd,5,10.1016/j.eclinm.2025.103072,https://openalex.org/W4406624792,Maternal and Perinatal Health Interventions,0.3675999939441681,Maternal and Perinatal Health Interventions,0.3675999939441681,Enhanced Recovery After Surgery,0.10580000281333923,Preterm Birth and Chorioamnionitis,0.09000000357627869,Medicine,0.9232751131057739,Duration (music),0.6648963093757629,Retrospective cohort study,0.5842887759208679,"[{""id"": ""https://openalex.org/T10453"", ""display_name"": ""Maternal and Perinatal Health Interventions"", ""score"": 0.3675999939441681}, {""id"": ""https://openalex.org/T12020"", ""display_name"": ""Enhanced Recovery After Surgery"", ""score"": 0.10580000281333923}, {""id"": ""https://openalex.org/T11290"", ""display_name"": ""Preterm Birth and Chorioamnionitis"", ""score"": 0.09000000357627869}]","[{""id"": ""https://openalex.org/keywords/medicine"", ""display_name"": ""Medicine"", ""score"": 0.9232751131057739}, {""id"": ""https://openalex.org/keywords/duration"", ""display_name"": ""Duration (music)"", ""score"": 0.6648963093757629}, {""id"": ""https://openalex.org/keywords/retrospective-cohort-study"", ""display_name"": ""Retrospective cohort study"", ""score"": 0.5842887759208679}]",openalex_s2_doi
48,ASP and PDDL+ Applications in Urban Traffic Distribution and Control.,iclp,2025,"Sandra Castellanos-Paez, Francesco Percassi, Mauro Vallati",https://www.semanticscholar.org/paper/e6e2eb9bb101d1c73b976b46ecce5d122a49a479,4,,https://openalex.org/W7154870262,"Logic, Reasoning, and Knowledge",0.8015999794006348,"Logic, Reasoning, and Knowledge",0.8015999794006348,Constraint Satisfaction and Optimization,0.08619999885559082,Formal Methods in Verification,0.027899999171495438,Scheduling (production processes),0.5992000102996826,Domain (mathematical analysis),0.5095000267028809,Context (archaeology),0.5056999921798706,"[{""id"": ""https://openalex.org/T11010"", ""display_name"": ""Logic, Reasoning, and Knowledge"", ""score"": 0.8015999794006348}, {""id"": ""https://openalex.org/T11596"", ""display_name"": ""Constraint Satisfaction and Optimization"", ""score"": 0.08619999885559082}, {""id"": ""https://openalex.org/T10142"", ""display_name"": ""Formal Methods in Verification"", ""score"": 0.027899999171495438}]","[{""id"": ""https://openalex.org/keywords/scheduling"", ""display_name"": ""Scheduling (production processes)"", ""score"": 0.5992000102996826}, {""id"": ""https://openalex.org/keywords/domain"", ""display_name"": ""Domain (mathematical analysis)"", ""score"": 0.5095000267028809}, {""id"": ""https://openalex.org/keywords/context"", ""display_name"": ""Context (archaeology)"", ""score"": 0.5056999921798706}]",openalex_title_search
49,Early Validation of High-level Requirements on Cyber-Physical Systems.,iclp,2025,Ondřej Vašíček,10.4204/eptcs.416.40,1,10.4204/eptcs.416.40,https://openalex.org/W4407349696,Software Engineering Techniques and Practices,0.964900016784668,Software Engineering Techniques and Practices,0.964900016784668,Software System Performance and Reliability,0.9638000130653381,Advanced Software Engineering Methodologies,0.9567999839782715,Cyber-physical system,0.6657009124755859,Computer science,0.46652159094810486,Reliability engineering,0.34706780314445496,"[{""id"": ""https://openalex.org/T10430"", ""display_name"": ""Software Engineering Techniques and Practices"", ""score"": 0.964900016784668}, {""id"": ""https://openalex.org/T12127"", ""display_name"": ""Software System Performance and Reliability"", ""score"": 0.9638000130653381}, {""id"": ""https://openalex.org/T10639"", ""display_name"": ""Advanced Software Engineering Methodologies"", ""score"": 0.9567999839782715}]","[{""id"": ""https://openalex.org/keywords/cyber-physical-system"", ""display_name"": ""Cyber-physical system"", ""score"": 0.6657009124755859}, {""id"": ""https://openalex.org/keywords/computer-science"", ""display_name"": ""Computer science"", ""score"": 0.46652159094810486}, {""id"": ""https://openalex.org/keywords/reliability-engineering"", ""display_name"": ""Reliability engineering"", ""score"": 0.34706780314445496}]",openalex_doi
50,Probabilistic Declarative Process Mining.,iclp,2025,"Anti Alman, Fabrizio Maria Maggi, Marco Montali, Rafael Peñaloza",https://www.semanticscholar.org/paper/5b3d9b60bcc94f216f20e4ffdd4105fdaf28ed87,4,10.1007/978-3-642-15280-1_28,https://openalex.org/W1660874201,Business Process Modeling and Analysis,0.9998000264167786,Business Process Modeling and Analysis,0.9998000264167786,Semantic Web and Ontologies,0.9939000010490417,Software Engineering Research,0.991599977016449,Computer science,0.8290552496910095,Probabilistic logic,0.7164017558097839,Notation,0.7025278806686401,"[{""id"": ""https://openalex.org/T10703"", ""display_name"": ""Business Process Modeling and Analysis"", ""score"": 0.9998000264167786}, {""id"": ""https://openalex.org/T10215"", ""display_name"": ""Semantic Web and Ontologies"", ""score"": 0.9939000010490417}, {""id"": ""https://openalex.org/T10260"", ""display_name"": ""Software Engineering Research"", ""score"": 0.991599977016449}]","[{""id"": ""https://openalex.org/keywords/computer-science"", ""display_name"": ""Computer science"", ""score"": 0.8290552496910095}, {""id"": ""https://openalex.org/keywords/probabilistic-logic"", ""display_name"": ""Probabilistic logic"", ""score"": 0.7164017558097839}, {""id"": ""https://openalex.org/keywords/notation"", ""display_name"": ""Notation"", ""score"": 0.7025278806686401}]",openalex_title_search
51,A Scalable Approach to Probabilistic Compliance in Declarative Process Mining.,iclp,2025,"Christian Sturm, Stefan Schönig, Stefan Jablonski",https://www.semanticscholar.org/paper/67b4a2aadbd97299255c3eabc64cd22d535bff1b,3,,https://openalex.org/W7117856808,Business Process Modeling and Analysis,0.9889000058174133,Business Process Modeling and Analysis,0.9889000058174133,Semantic Web and Ontologies,0.0007999999797903001,Service-Oriented Architecture and Web Services,0.000699999975040555,Probabilistic logic,0.8159999847412109,Probabilistic relevance model,0.5544000267982483,Probabilistic CTL,0.5335999727249146,"[{""id"": ""https://openalex.org/T10703"", ""display_name"": ""Business Process Modeling and Analysis"", ""score"": 0.9889000058174133}, {""id"": ""https://openalex.org/T10215"", ""display_name"": ""Semantic Web and Ontologies"", ""score"": 0.0007999999797903001}, {""id"": ""https://openalex.org/T10679"", ""display_name"": ""Service-Oriented Architecture and Web Services"", ""score"": 0.000699999975040555}]","[{""id"": ""https://openalex.org/keywords/probabilistic-logic"", ""display_name"": ""Probabilistic logic"", ""score"": 0.8159999847412109}, {""id"": ""https://openalex.org/keywords/probabilistic-relevance-model"", ""display_name"": ""Probabilistic relevance model"", ""score"": 0.5544000267982483}, {""id"": ""https://openalex.org/keywords/probabilistic-ctl"", ""display_name"": ""Probabilistic CTL"", ""score"": 0.5335999727249146}]",openalex_title_search
52,A Neurosymbolic Approach to Fraud Detection on Financial Data in the Public Administration.,iclp,2025,,https://www.semanticscholar.org/paper/5a369b42aef1d91050d898b678f5737a559d0f35,5,,,,,,,,,,,,,,,,,,,
53,Scalable and Ethical Medical Scheduling: An ASP-Based Framework with Patient-Centered Experimental Validation.,iclp,2025,Hongnan Ye,https://www.semanticscholar.org/paper/f3bbae0294c78f79039c31c39dc5c1c2cfc108a8,4,,,,,,,,,,,,,,,,,,,
54,On Computing Universal Plans for Partially Observable Multi-Agent Path Finding.,iclp,2025,"Fengming Zhu, Fangzhen Lin",https://www.semanticscholar.org/paper/e93070839656c5ce32e8045c0e863f1f3fac343c,1,,,,,,,,,,,,,,,,,,,
55,færdXel: An Expert System for Danish Traffic Law.,iclp,2025,"Luís Cruz-Filipe, Jonas Vistrup",https://www.semanticscholar.org/paper/50483d809c852ff3c370adffe3b88be8c8c047e7,1,10.4204/eptcs.439.26,https://openalex.org/W4403884668,Business Process Modeling and Analysis,0.9872000217437744,Business Process Modeling and Analysis,0.9872000217437744,Multi-Agent Systems and Negotiation,0.9855999946594238,Artificial Intelligence in Law,0.9825000166893005,Danish,0.7928025722503662,Law,0.4794275164604187,Political science,0.42686817049980164,"[{""id"": ""https://openalex.org/T10703"", ""display_name"": ""Business Process Modeling and Analysis"", ""score"": 0.9872000217437744}, {""id"": ""https://openalex.org/T10456"", ""display_name"": ""Multi-Agent Systems and Negotiation"", ""score"": 0.9855999946594238}, {""id"": ""https://openalex.org/T13643"", ""display_name"": ""Artificial Intelligence in Law"", ""score"": 0.9825000166893005}]","[{""id"": ""https://openalex.org/keywords/danish"", ""display_name"": ""Danish"", ""score"": 0.7928025722503662}, {""id"": ""https://openalex.org/keywords/law"", ""display_name"": ""Law"", ""score"": 0.4794275164604187}, {""id"": ""https://openalex.org/keywords/political-science"", ""display_name"": ""Political science"", ""score"": 0.42686817049980164}]",openalex_title_search
